"filename", "language", "C#", "MSBuild", "Markdown", "JSON", "comment", "blank", "total"
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RedisWorkModule\RedisCore.cs", "C#", 20, 0, 0, 0, 9, 2, 31
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RedisWorkModule\RedisWorker.Hash.cs", "C#", 78, 0, 0, 0, 35, 4, 117
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RedisWorkModule\RedisWorker.String.cs", "C#", 20, 0, 0, 0, 5, 7, 32
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RedisWorkModule\RedisWorker.cs", "C#", 27, 0, 0, 0, 17, 9, 53
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\DynamicProxy\RemoteServiceInterceptor.cs", "C#", 77, 0, 0, 0, 14, 10, 101
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\DynamicProxy\RemoteServiceProxyGenerator.cs", "C#", 19, 0, 0, 0, 9, 4, 32
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\OriginFrameWork.RemoteInvokeModule.csproj", "MSBuild", 0, 14, 0, 0, 0, 5, 19
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\OriginRemoteInvokeModule.cs", "C#", 41, 0, 0, 0, 2, 4, 47
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\RemoteAttributes\RemoteServiceAttribute.cs", "C#", 14, 0, 0, 0, 8, 1, 23
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\RemoteAttributes\RemoteServiceIndividualAttribute.cs", "C#", 14, 0, 0, 0, 3, 1, 18
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\RemoteServerTodo\IRemoteServiceInvoker.cs", "C#", 7, 0, 0, 0, 0, 0, 7
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\RemoteServerTodo\RemoteServiceInvoker.cs", "C#", 95, 0, 0, 0, 20, 8, 123
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\RemoteServer\DynamicApiControllergenrator.cs", "C#", 209, 0, 0, 0, 57, 29, 295
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\RemoteServer\RemoteServerRegister.cs", "C#", 27, 0, 0, 0, 6, 5, 38
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\RemoteServer\RemoteServiceIndividualAttribute.cs", "C#", 14, 0, 0, 0, 0, 1, 15
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\RemoteServiceDiscovery\IServiceDiscovery.cs", "C#", 7, 0, 0, 0, 0, 1, 8
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\RemoteServiceDiscovery\ServiceDiscovery.cs", "C#", 31, 0, 0, 0, 12, 2, 45
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RemoteInvokeModule\RemoteServiceInvocationContext.cs", "C#", 35, 0, 0, 0, 22, 7, 64
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.ScheduledTaskModule\EventSchedulTask.cs", "C#", 26, 0, 0, 0, 1, 4, 31
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.ScheduledTaskModule\IOriginScheduledTaskHandler.cs", "C#", 5, 0, 0, 0, 0, 2, 7
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.ScheduledTaskModule\OriginFrameWork.ScheduledTaskModule.csproj", "MSBuild", 0, 10, 0, 0, 0, 0, 10
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.ScheduledTaskModule\OriginScheduledTaskHandler.cs", "C#", 27, 0, 0, 0, 5, 4, 36
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.ScheduledTaskModule\OriginScheduledTaskModule.cs", "C#", 19, 0, 0, 0, 0, 2, 21
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.ScheduledTaskModule\ScheduledTaskType.cs", "C#", 6, 0, 0, 0, 2, 3, 11
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Service\OriginApp\GetDbTest.cs", "C#", 17, 0, 0, 0, 0, 4, 21
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Service\OriginApp\IGetDbTest.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Service\OriginApp\IOriginService.cs", "C#", 9, 0, 0, 0, 0, 4, 13
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Service\OriginApp\OriginService.cs", "C#", 11, 0, 0, 0, 0, 7, 18
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Service\OriginFrameWork.Service.csproj", "MSBuild", 0, 15, 0, 0, 0, 0, 15
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.WorkUnitModule\IOriginUnitOfWork.cs", "C#", 7, 0, 0, 0, 0, 2, 9
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.WorkUnitModule\OriginFrameWork.UnitOfWorkModule.csproj", "MSBuild", 0, 10, 0, 0, 0, 0, 10
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.WorkUnitModule\OriginFrameWorkUnitOfWorkModule.cs", "C#", 4, 0, 0, 0, 5, 2, 11
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.WorkUnitModule\OriginUnitOfWork.cs", "C#", 41, 0, 0, 0, 13, 4, 58
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork使用手册.md", "Markdown", 0, 0, 202, 0, 0, 25, 227
"d:\MyCode\OriginFrameWork1.0.3\README.md", "Markdown", 0, 0, 202, 0, 0, 25, 227
"Total", "-", 1985, 199, 404, 78, 777, 471, 3914
